entry_id,protein,dms_id,num_mutations
pg-00000,A0A140D2T1_ZIKV,A0A140D2T1_ZIKV_Sourisseau_2019,
pg-00001,A0A192B1T2_9HIV1,A0A192B1T2_9HIV1_Haddox_2018,
pg-00002,A0A1I9GEU1_NEIME,A0A1I9GEU1_NEIME_Kennouche_2019,
pg-00003,A0A247D711_LISMN,A0A247D711_LISMN_Stadelmann_2021,
pg-00004,A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA_Doud_2016,
pg-00005,A0A2Z5U3Z0_9INFA,A0A2Z5U3Z0_9INFA_Wu_2014,
pg-00006,A4_HUMAN,A4_HUMAN_Seuma_2022,
pg-00007,A4D664_9INFA,A4D664_9INFA_Soh_2019,
pg-00008,A4GRB6_PSEAI,A4GRB6_PSEAI_Chen_2020,
pg-00009,AACC1_PSEAI,AACC1_PSEAI_Dandage_2018,
pg-00010,ACE2_HUMAN,ACE2_HUMAN_Chan_2020,
pg-00011,ADRB2_HUMAN,ADRB2_HUMAN_Jones_2020,
pg-00012,AICDA_HUMAN,AICDA_HUMAN_Gajula_2014_3cycles,
pg-00013,AMFR_HUMAN,AMFR_HUMAN_Tsuboyama_2023_4G3O,
pg-00014,AMIE_PSEAE,AMIE_PSEAE_Wrenbeck_2017,
pg-00015,ANCSZ,ANCSZ_Hobbs_2022,
pg-00016,ARGR_ECOLI,ARGR_ECOLI_Tsuboyama_2023_1AOY,
pg-00017,B2L11_HUMAN,B2L11_HUMAN_Dutta_2010_binding-Mcl-1,
pg-00018,BBC1_YEAST,BBC1_YEAST_Tsuboyama_2023_1TG0,
pg-00019,BCHB_CHLTE,BCHB_CHLTE_Tsuboyama_2023_2KRU,
pg-00020,BLAT_ECOLX,BLAT_ECOLX_Deng_2012,
pg-00021,BLAT_ECOLX,BLAT_ECOLX_Firnberg_2014,
pg-00022,BLAT_ECOLX,BLAT_ECOLX_Jacquier_2013,
pg-00023,BLAT_ECOLX,BLAT_ECOLX_Stiffler_2015,
pg-00024,BRCA1_HUMAN,BRCA1_HUMAN_Findlay_2018,
pg-00025,BRCA2_HUMAN,BRCA2_HUMAN_Erwood_2022_HEK293T,
pg-00026,C6KNH7_9INFA,C6KNH7_9INFA_Lee_2018,
pg-00027,CALM1_HUMAN,CALM1_HUMAN_Weile_2017,
pg-00028,CAPSD_AAV2S,CAPSD_AAV2S_Sinai_2021,
pg-00029,CAR11_HUMAN,CAR11_HUMAN_Meitlis_2020_gof,
pg-00030,CAR11_HUMAN,CAR11_HUMAN_Meitlis_2020_lof,
pg-00031,CAS9_STRP1,CAS9_STRP1_Spencer_2017_positive,
pg-00032,CASP3_HUMAN,CASP3_HUMAN_Roychowdhury_2020,
pg-00033,CASP7_HUMAN,CASP7_HUMAN_Roychowdhury_2020,
pg-00034,CATR_CHLRE,CATR_CHLRE_Tsuboyama_2023_2AMI,
pg-00035,CBPA2_HUMAN,CBPA2_HUMAN_Tsuboyama_2023_1O6X,
pg-00036,CBS_HUMAN,CBS_HUMAN_Sun_2020,
pg-00037,CBX4_HUMAN,CBX4_HUMAN_Tsuboyama_2023_2K28,
pg-00038,CCDB_ECOLI,CCDB_ECOLI_Adkar_2012,
pg-00039,CCDB_ECOLI,CCDB_ECOLI_Tripathi_2016,
pg-00040,CCR5_HUMAN,CCR5_HUMAN_Gill_2023,
pg-00041,CD19_HUMAN,CD19_HUMAN_Klesmith_2019_FMC_singles,
pg-00042,CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_abundance,
pg-00043,CP2C9_HUMAN,CP2C9_HUMAN_Amorosi_2021_activity,
pg-00044,CSN4_MOUSE,CSN4_MOUSE_Tsuboyama_2023_1UFM,
